"Block_Nr","Block_Name","Task_Nr","Task_Name","Trial_Nr","Trial_Id","","1","10","11","12","13","14","15","16","2","3","4","5","6","7","8","9","age","cabbage","cama","Condition_Id","cookie","copy_of_copy_of_parrot_recording","copy_of_copy_of_pocket","copy_of_parrot_recording","copy_of_pepper","copy_of_pocket","copy_of_pool_recording","copy_of_puppy_recording","copy_of_recording","copy_of_recording_2","country of origin","country_current","country_now","country_origin","current_age","Do you speak a third language?","eng","English","kennel","kitten","L2","l3","language","new","parrot_recording","pass","pato","patte_object","patte_recording","peche_recording","pena","penny","pepper","pere_recording","pere_recordingg","pile","pile_recording","pipe_recording","piso","piso_recording","poche","poche_recording","pocket","pomme_recording.","pool_recording","poudre_recording","pour_recording","prolific_id","puppy_recording","puro_recording","queja","quelle_ojb","quete","quiso","quitte_obj","recording_1","self_prof","sex","tacky","talla","tasse","teller","tema","terre","test","tipping","tir","tiro","v","completed","crowdsourcing_code","crowdsourcing_subj_id","end_time","exp_subject_id","group_name","rec_session_id","session_name","session_nr","start_time","subj_counter_global","subj_counter_per_group","subject_code","time_delay_offset","time_measure_std","unlocked"
1,"block_1",7,"task_7","1","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","yes","","&quot;&quot;","2021-10-14T13:28:03.000Z",296693,"group_1",324262,"session_1",1,"2021-10-14T13:21:17.000Z","81","81","","1.5 ms","2.6 ms",true
1,"block_1",5,"french_shadowing","1","1","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","blockNr_1_taskNr_5_trialNr_1_patte.wav","","","","","","","","blockNr_1_taskNr_5_trialNr_1_pile_object.wav","","","","","","","","","","","","","","","","blockNr_1_taskNr_5_trialNr_1_quelle.wav","blockNr_1_taskNr_5_trialNr_1_patte.wav","","blockNr_1_taskNr_5_trialNr_1_quitte.wav","","","","","","blockNr_1_taskNr_5_trialNr_1_tasse.wav","","","blockNr_1_taskNr_5_trialNr_1_terre.wav","","","","","","yes","","&quot;&quot;","2021-10-14T13:28:03.000Z",296693,"group_1",324262,"session_1",1,"2021-10-14T13:21:17.000Z","81","81","","1.5 ms","2.6 ms",true
1,"block_1",4,"Spanish_production","1","1","","","","","","","","","","","","","","","","","","","","blockNr_1_taskNr_4_trialNr_1_cama.wav","1","","","","","","","","","","","","","","","","","","","","","","","","","","","blockNr_1_taskNr_4_trialNr_1_pato.wav","","","","blockNr_1_taskNr_4_trialNr_1_pena.wav","","","","","","","","blockNr_1_taskNr_4_trialNr_1_piso.wav","","","","","","","","","","","","blockNr_1_taskNr_4_trialNr_1_queja.wav","","","blockNr_1_taskNr_4_trialNr_1_quiso.wav","","","","","","","","","blockNr_1_taskNr_4_trialNr_1_tema.wav","","","","","blockNr_1_taskNr_4_trialNr_1_tiro.wav","","yes","","&quot;&quot;","2021-10-14T13:28:03.000Z",296693,"group_1",324262,"session_1",1,"2021-10-14T13:21:17.000Z","81","81","","1.5 ms","2.6 ms",true
1,"block_1",2,"Questionnaire","1","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","Mexico","Mexico","28","","sí","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","613be422724a878791259440","","","","","","","","","","Female","","","","","","","","","","","","yes","","&quot;&quot;","2021-10-14T13:28:03.000Z",296693,"group_1",324262,"session_1",1,"2021-10-14T13:21:17.000Z","81","81","","1.5 ms","2.6 ms",true
1,"block_1",1,"french_shadowing_instructions","1","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","yes","","&quot;&quot;","2021-10-14T13:28:03.000Z",296693,"group_1",324262,"session_1",1,"2021-10-14T13:21:17.000Z","81","81","","1.5 ms","2.6 ms",true
1,"block_1",4,"french_shadowing","1","1","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","blockNr_1_taskNr_4_trialNr_1_patte.wav","","","","","","","","blockNr_1_taskNr_4_trialNr_1_pile_object.wav","","","","","","","","","","","","","","","","blockNr_1_taskNr_4_trialNr_1_quelle.wav","blockNr_1_taskNr_4_trialNr_1_patte.wav","","blockNr_1_taskNr_4_trialNr_1_quitte.wav","","","","","","blockNr_1_taskNr_4_trialNr_1_tasse.wav","","","blockNr_1_taskNr_4_trialNr_1_terre.wav","","","","","","no","","&quot;&quot;","",296692,"group_1",324261,"session_1",1,"2021-10-14T13:21:21.000Z","80","80","","NaN ms","NaN ms",true
1,"block_1",2,"french_shadowing_instructions","1","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","no","","&quot;&quot;","",296692,"group_1",324261,"session_1",1,"2021-10-14T13:21:21.000Z","80","80","","NaN ms","NaN ms",true
1,"block_1",1,"Questionnaire","1","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","Mexico","Mexico","22","","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","614b850ef106e30653ef3d","","","","","","","","","","Female","","","","","","","","","","","","no","","&quot;&quot;","",296692,"group_1",324261,"session_1",1,"2021-10-14T13:21:21.000Z","80","80","","NaN ms","NaN ms",true
1,"block_1",7,"task_7","1","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","yes","","&quot;&quot;","2021-10-14T13:25:08.000Z",296691,"group_1",324260,"session_1",1,"2021-10-14T13:21:16.000Z","79","79","","0.3 ms","0.5 ms",true
1,"block_1",5,"Spanish_production","1","1","","","","","","","","","","","","","","","","","","","","blockNr_1_taskNr_5_trialNr_1_cama.wav","1","","","","","","","","","","","","","","","","","","","","","","","","","","","blockNr_1_taskNr_5_trialNr_1_pato.wav","","","","blockNr_1_taskNr_5_trialNr_1_pena.wav","","","","","","","","blockNr_1_taskNr_5_trialNr_1_piso.wav","","","","","","","","","","","","blockNr_1_taskNr_5_trialNr_1_queja.wav","","","blockNr_1_taskNr_5_trialNr_1_quiso.wav","","","","","","blockNr_1_taskNr_5_trialNr_1_talla.wav","","","blockNr_1_taskNr_5_trialNr_1_tema.wav","","","","","blockNr_1_taskNr_5_trialNr_1_tiro.wav","","yes","","&quot;&quot;","2021-10-14T13:25:08.000Z",296691,"group_1",324260,"session_1",1,"2021-10-14T13:21:16.000Z","79","79","","0.3 ms","0.5 ms",true
1,"block_1",4,"french_shadowing","1","1","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","blockNr_1_taskNr_4_trialNr_1_patte.wav","","","","","","","","blockNr_1_taskNr_4_trialNr_1_pile_object.wav","","","","","","","","","","","","","","","","blockNr_1_taskNr_4_trialNr_1_quelle.wav","blockNr_1_taskNr_4_trialNr_1_patte.wav","","blockNr_1_taskNr_4_trialNr_1_quitte.wav","","","","","","blockNr_1_taskNr_4_trialNr_1_tasse.wav","","","blockNr_1_taskNr_4_trialNr_1_terre.wav","","","blockNr_1_taskNr_4_trialNr_1_tir.wav","","","yes","","&quot;&quot;","2021-10-14T13:25:08.000Z",296691,"group_1",324260,"session_1",1,"2021-10-14T13:21:16.000Z","79","79","","0.3 ms","0.5 ms",true
1,"block_1",2,"french_shadowing_instructions","1","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","yes","","&quot;&quot;","2021-10-14T13:25:08.000Z",296691,"group_1",324260,"session_1",1,"2021-10-14T13:21:16.000Z","79","79","","0.3 ms","0.5 ms",true
1,"block_1",1,"Questionnaire","1","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","Mexico","Mexico","24","","sí","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6147dc2a1193ff5c6abebc60","","","","","","","","","","Female","","","","","","","","","","","","yes","","&quot;&quot;","2021-10-14T13:25:08.000Z",296691,"group_1",324260,"session_1",1,"2021-10-14T13:21:16.000Z","79","79","","0.3 ms","0.5 ms",true
1,"block_1",7,"task_7","1","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","yes","","&quot;&quot;","2021-10-14T13:23:49.000Z",296689,"group_1",324258,"session_1",1,"2021-10-14T13:19:29.000Z","77","77","","20.2 ms","131.5 ms",true
1,"block_1",5,"french_shadowing","1","1","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","blockNr_1_taskNr_5_trialNr_1_patte.wav","","","","","","","","blockNr_1_taskNr_5_trialNr_1_pile_object.wav","","","","","","","","","","","","","","","","blockNr_1_taskNr_5_trialNr_1_quelle.wav","blockNr_1_taskNr_5_trialNr_1_patte.wav","","blockNr_1_taskNr_5_trialNr_1_quitte.wav","","","","","","blockNr_1_taskNr_5_trialNr_1_tasse.wav","","","blockNr_1_taskNr_5_trialNr_1_terre.wav","","","blockNr_1_taskNr_5_trialNr_1_tir.wav","","","yes","","&quot;&quot;","2021-10-14T13:23:49.000Z",296689,"group_1",324258,"session_1",1,"2021-10-14T13:19:29.000Z","77","77","","20.2 ms","131.5 ms",true
1,"block_1",4,"Spanish_production","1","1","","","","","","","","","","","","","","","","","","","","blockNr_1_taskNr_4_trialNr_1_cama.wav","1","","","","","","","","","","","","","","","","","","","","","","","","","","","blockNr_1_taskNr_4_trialNr_1_pato.wav","","","","blockNr_1_taskNr_4_trialNr_1_pena.wav","","","","","","","","blockNr_1_taskNr_4_trialNr_1_piso.wav","","","","","","","","","","","","blockNr_1_taskNr_4_trialNr_1_queja.wav","","","blockNr_1_taskNr_4_trialNr_1_quiso.wav","","","","","","blockNr_1_taskNr_4_trialNr_1_talla.wav","","","blockNr_1_taskNr_4_trialNr_1_tema.wav","","","","","blockNr_1_taskNr_4_trialNr_1_tiro.wav","","yes","","&quot;&quot;","2021-10-14T13:23:49.000Z",296689,"group_1",324258,"session_1",1,"2021-10-14T13:19:29.000Z","77","77","","20.2 ms","131.5 ms",true
